Misdemeanor Offenses,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,CRIMINAL TRESPASS,0,1,2,4,4,4,4,3,0,0,5,0,0,1,0,1,1,5
,UNAUTHORIZED USE OF A VEHICLE           ,1,1,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,1
,OFFENSES AGAINST THE PERSON (7)      ,6,1,5,2,1,2,1,0,1,0,1,2,2,3,4,1,1,1
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),9,3,1,1,8,14,8,7,9,14,12,5,14,13,8,7,6,10
,ADMINISTRATIVE CODE (6)            ,0,0,0,0,0,0,0,4,0,0,1,1,0,1,0,2,0,1
,FRAUDS (3)                    ,4,1,3,0,3,4,5,3,5,2,4,0,2,5,2,0,2,3
,AGGRAVATED HARASSMENT 2               ,6,5,12,8,15,14,9,5,2,4,3,4,4,1,8,2,2,3
,OTHER MISDEMEANORS (8),80,31,22,15,37,33,34,40,23,45,42,39,62,44,52,50,21,20
,TOTAL MISDEMEANOR OFFENSES,860,539,468,278,302,375,259,305,312,288,408,403,408,345,290,327,206,173
23,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,19,11,16,19,24,24,12,20,8,12,16,44,35,36,22,20,40,12
,MISDEMEANOR SEX CRIMES (4),63,63,56,45,47,47,60,51,53,38,49,45,44,42,66,67,73,72
,MISDEMEANOR DANGEROUS DRUGS  (1),2125,1525,1740,1252,1181,1043,1039,1073,1075,1130,1131,1291,1097,732,773,952,910,939
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,59,74,67,71,81,86,121,129,106,128,144,144,90,91,107,136,121,69
,PETIT LARCENY                         ,677,707,633,588,544,615,691,651,563,628,657,525,621,743,718,688,686,821
,ASSAULT 3 AND RELATED OFFENSES        ,908,934,795,791,797,821,756,755,763,740,759,679,731,735,715,669,622,649
,INTOXICATED & IMPAIRED DRIVING              ,35,32,29,35,35,62,60,52,53,47,73,53,46,67,67,44,23,20
,VEHICLE AND TRAFFIC LAWS              ,234,173,145,110,87,102,106,71,42,44,44,35,34,30,39,37,40,44
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,482,483,442,395,419,472,530,571,526,565,624,534,509,480,514,607,581,556
,CRIMINAL TRESPASS,325,329,326,462,550,690,680,809,752,841,589,579,505,656,643,385,398,234
,UNAUTHORIZED USE OF A VEHICLE           ,11,17,13,10,9,10,13,11,20,8,10,7,12,9,12,9,13,9
,OFFENSES AGAINST THE PERSON (7)      ,20,25,14,30,36,33,36,34,21,24,18,20,30,34,26,19,19,23
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),155,151,141,207,210,241,271,231,205,252,301,241,248,272,247,212,225,197
,ADMINISTRATIVE CODE (6)            ,4,6,3,7,9,6,10,4,3,9,5,6,4,2,5,10,6,5
,FRAUDS (3)                    ,67,116,102,55,39,51,43,37,39,77,80,62,49,59,84,49,54,34
,AGGRAVATED HARASSMENT 2               ,581,563,523,488,431,529,498,470,410,399,353,408,400,406,255,301,385,327
,OTHER MISDEMEANORS (8),341,225,132,231,198,211,117,220,182,388,529,546,469,536,454,539,635,461
,TOTAL MISDEMEANOR OFFENSES,6106,5434,5177,4796,4697,5043,5043,5189,4821,5330,5382,5219,4924,4930,4747,4744,4831,4472
24,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,6,16,8,24,25,18,16,16,23,17,8,14,22,16,11,6,9,6
,MISDEMEANOR SEX CRIMES (4),45,47,38,25,36,34,34,27,23,32,28,32,38,34,37,29,56,55
,MISDEMEANOR DANGEROUS DRUGS  (1),696,481,526,442,553,538,455,596,476,469,384,432,451,347,337,324,383,238
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,19,27,21,24,23,43,32,28,39,35,27,30,30,22,40,45,46,27
,PETIT LARCENY                         ,1260,1049,1108,1191,1134,1358,1060,1113,1241,938,1063,818,980,1051,977,1094,1106,1350
,ASSAULT 3 AND RELATED OFFENSES        ,500,486,428,378,390,397,411,403,373,395,371,385,380,383,358,282,277,256
,INTOXICATED & IMPAIRED DRIVING              ,31,16,21,16,35,31,32,40,31,68,42,25,18,23,34,19,21,31
,VEHICLE AND TRAFFIC LAWS              ,51,62,25,29,49,35,21,28,31,27,27,31,28,33,27,28,31,32
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,386,288,282,418,405,390,429,449,524,468,508,368,425,396,389,494,494,426
,CRIMINAL TRESPASS,128,160,135,184,189,213,191,345,322,262,208,151,153,165,128,128,85,77
,UNAUTHORIZED USE OF A VEHICLE           ,6,12,13,8,7,6,6,6,4,10,7,5,10,11,5,9,6,5
,OFFENSES AGAINST THE PERSON (7)      ,10,13,15,7,9,9,9,14,4,10,14,10,17,11,13,9,11,13
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),84,77,89,73,85,90,72,100,93,102,84,88,86,85,95,86,72,71
,ADMINISTRATIVE CODE (6)            ,9,14,7,1,10,5,5,4,1,4,9,3,6,1,2,4,3,0
,FRAUDS (3)                    ,85,112,106,39,39,37,27,43,49,63,67,33,41,36,43,65,61,63
,AGGRAVATED HARASSMENT 2               ,424,472,362,365,331,301,266,341,313,305,322,325,294,218,153,124,123,97
,OTHER MISDEMEANORS (8),196,141,186,191,206,178,229,289,246,235,273,258,394,333,342,332,293,280
,TOTAL MISDEMEANOR OFFENSES,3936,3473,3370,3415,3526,3683,3295,3842,3793,3440,3442,3008,3373,3165,2991,3078,3077,3027
25,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,25,17,23,23,21,33,20,24,35,69,50,41,44,55,21,31,11,15
,MISDEMEANOR SEX CRIMES (4),60,62,44,42,48,48,44,35,50,35,42,50,54,46,59,79,80,108
,MISDEMEANOR DANGEROUS DRUGS  (1),1746,1235,1430,1267,1498,1332,1507,1709,1826,1743,2251,2261,2579,2044,2192,1366,1403,1528
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,30,48,49,70,63,71,88,122,116,106,154,98,98,109,96,139,101,92
,PETIT LARCENY                         ,688,651,658,753,597,576,593,909,1002,1030,980,977,1095,973,1070,1018,893,903
,ASSAULT 3 AND RELATED OFFENSES        ,724,758,671,734,721,632,589,593,633,605,582,648,725,717,725,520,518,607
,INTOXICATED & IMPAIRED DRIVING              ,90,79,92,123,175,193,195,255,203,255,225,171,165,127,90,64,79,64
,VEHICLE AND TRAFFIC LAWS              ,120,92,77,85,85,65,59,67,65,59,53,54,60,55,35,72,70,44
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,426,316,299,404,395,465,436,525,458,464,417,382,461,449,865,953,836,489
,CRIMINAL TRESPASS,217,156,159,238,316,424,466,512,522,427,463,484,322,365,532,198,208,114
,UNAUTHORIZED USE OF A VEHICLE           ,19,21,19,10,10,9,8,9,8,4,10,10,11,11,12,12,11,14
,OFFENSES AGAINST THE PERSON (7)      ,15,18,26,35,34,17,18,16,13,10,21,17,17,14,14,27,15,11
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),107,99,111,140,157,134,137,137,156,162,201,145,182,188,209,192,177,114
,ADMINISTRATIVE CODE (6)            ,8,2,7,8,1,6,2,5,2,4,10,7,11,5,6,7,6,15
,FRAUDS (3)                    ,73,87,61,64,62,57,52,50,120,139,152,68,86,77,64,58,55,56
,AGGRAVATED HARASSMENT 2               ,344,307,365,366,380,349,345,327,309,373,365,344,336,360,234,296,256,294
,OTHER MISDEMEANORS (8),630,1134,610,832,1039,926,785,1096,1065,1072,1311,1095,1061,1405,1029,1282,1310,1126
,TOTAL MISDEMEANOR OFFENSES,5322,5082,4701,5194,5602,5337,5344,6391,6583,6557,7287,6852,7307,7000,7253,6314,6029,5594
26,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,14,9,19,11,12,13,8,12,17,24,19,15,13,4,7,7,2,5
,MISDEMEANOR SEX CRIMES (4),35,34,31,28,26,40,25,31,29,23,30,33,35,22,38,29,43,40
,MISDEMEANOR DANGEROUS DRUGS  (1),427,278,407,327,507,407,459,320,354,362,376,431,548,395,235,268,253,226
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,28,43,53,48,68,66,59,63,45,59,64,46,48,67,35,28,29,29
,PETIT LARCENY                         ,706,572,576,629,577,533,656,569,595,635,603,498,560,514,475,407,438,541
,ASSAULT 3 AND RELATED OFFENSES        ,432,411,345,349,318,307,263,288,290,271,326,318,327,312,266,227,235,244
,INTOXICATED & IMPAIRED DRIVING              ,64,29,35,32,53,50,35,46,44,54,31,32,41,58,43,17,32,34
,VEHICLE AND TRAFFIC LAWS              ,203,173,144,114,103,87,124,112,41,28,30,28,21,26,19,17,26,19
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,280,271,277,287,292,256,290,384,389,326,290,255,325,230,303,331,331,381
,CRIMINAL TRESPASS,151,107,99,126,196,129,166,148,228,257,237,231,204,192,165,65,74,73
,UNAUTHORIZED USE OF A VEHICLE           ,23,15,26,16,16,11,7,11,9,3,4,10,10,7,3,4,4,5
,OFFENSES AGAINST THE PERSON (7)      ,14,9,7,12,13,10,6,13,18,13,9,8,14,12,20,17,15,22
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),35,41,48,50,77,63,76,64,76,71,70,84,85,101,70,89,54,61
,ADMINISTRATIVE CODE (6)            ,7,2,3,7,8,9,5,2,1,2,2,3,2,2,1,3,0,1
,FRAUDS (3)                    ,52,76,37,28,40,35,42,26,30,22,26,38,20,36,25,19,24,14
,AGGRAVATED HARASSMENT 2               ,239,288,234,196,212,187,201,219,163,208,184,169,178,180,142,153,151,154
,OTHER MISDEMEANORS (8),404,289,351,383,368,424,377,486,451,418,707,622,726,595,416,526,553,345
,TOTAL MISDEMEANOR OFFENSES,3114,2647,2692,2643,2886,2627,2799,2794,2780,2776,3008,2821,3157,2753,2263,2207,2264,2194
28,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,7,7,13,11,34,18,12,5,8,19,11,25,20,33,13,11,8,3
,MISDEMEANOR SEX CRIMES (4),49,34,29,34,39,26,26,40,39,28,32,34,37,36,32,48,52,55
,MISDEMEANOR DANGEROUS DRUGS  (1),1194,770,1150,1211,1455,1217,1410,1243,1167,1451,1313,1208,1266,1366,1132,744,896,654
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,24,23,29,44,40,57,90,67,73,71,52,73,55,40,34,43,35,13
,PETIT LARCENY                         ,634,666,683,751,773,671,707,725,734,1000,1024,976,982,1169,1121,1029,1135,1334
,ASSAULT 3 AND RELATED OFFENSES        ,666,710,601,508,515,509,529,431,482,533,558,524,515,480,504,404,459,435
,INTOXICATED & IMPAIRED DRIVING              ,38,34,30,22,40,22,24,51,44,47,29,33,42,39,35,30,20,27
,VEHICLE AND TRAFFIC LAWS              ,270,186,151,139,114,59,88,82,45,35,32,30,25,37,24,28,33,44
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,317,362,240,346,329,308,342,330,352,319,299,262,315,345,332,355,456,464
,CRIMINAL TRESPASS,89,72,102,224,247,277,272,324,260,524,308,157,226,166,127,125,149,105
,UNAUTHORIZED USE OF A VEHICLE           ,15,24,10,10,10,8,6,11,8,6,6,7,6,5,5,5,8,8
,OFFENSES AGAINST THE PERSON (7)      ,7,10,6,5,6,9,12,9,11,13,9,11,22,18,7,12,5,6
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),143,120,83,94,130,116,175,161,151,172,166,156,160,178,186,161,117,85
,ADMINISTRATIVE CODE (6)            ,12,10,12,16,21,18,37,16,14,10,8,4,7,6,5,4,9,1
,FRAUDS (3)                    ,61,76,75,46,43,60,51,67,72,86,84,59,57,42,36,19,33,42
,AGGRAVATED HARASSMENT 2               ,297,302,253,225,226,213,229,231,221,229,222,210,193,216,149,185,157,243
,OTHER MISDEMEANORS (8),568,379,547,830,731,496,720,588,594,631,579,859,1074,898,837,793,663,402
,TOTAL MISDEMEANOR OFFENSES,4391,3785,4014,4516,4753,4084,4730,4381,4275,5174,4732,4628,5002,5074,4579,3996,4235,3921
30,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,14,25,21,23,22,26,14,13,14,15,23,21,17,20,13,13,8,8
,MISDEMEANOR SEX CRIMES (4),35,41,42,35,40,44,32,36,36,38,36,45,44,34,38,38,54,50
,MISDEMEANOR DANGEROUS DRUGS  (1),3265,3345,2457,1352,1061,751,876,1236,1034,1355,1055,1208,1084,948,734,738,855,141
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,66,85,64,88,111,104,89,115,84,163,103,111,97,111,93,79,86,35
,PETIT LARCENY                         ,572,471,541,521,567,424,463,371,485,383,383,365,444,503,455,447,534,560
,ASSAULT 3 AND RELATED OFFENSES        ,694,675,666,612,599,632,516,521,454,490,570,580,572,613,598,399,353,295
,INTOXICATED & IMPAIRED DRIVING              ,79,60,58,42,60,86,90,83,123,140,124,87,137,120,104,74,70,61
,VEHICLE AND TRAFFIC LAWS              ,525,330,384,355,389,404,461,501,268,373,302,136,180,157,83,97,71,42
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,484,344,228,361,330,368,381,369,413,319,373,287,335,309,365,423,453,444
,CRIMINAL TRESPASS,666,407,245,275,449,237,153,139,200,261,193,222,152,119,98,101,67,27
,UNAUTHORIZED USE OF A VEHICLE           ,43,28,23,13,14,14,17,11,12,9,10,6,6,9,5,11,10,3
,OFFENSES AGAINST THE PERSON (7)      ,10,9,10,14,12,4,3,7,13,18,13,9,6,23,21,16,13,5
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),118,86,67,78,121,116,101,125,108,177,142,131,108,138,145,118,110,97
,ADMINISTRATIVE CODE (6)            ,21,15,10,21,18,20,12,8,17,8,8,7,5,14,6,7,6,6
,FRAUDS (3)                    ,70,93,79,76,58,35,36,28,28,33,30,13,37,39,45,46,43,34
,AGGRAVATED HARASSMENT 2               ,348,403,369,335,309,314,305,244,255,241,246,227,209,206,175,134,153,150
,OTHER MISDEMEANORS (8),920,404,408,478,507,417,306,322,295,282,289,447,684,726,607,700,464,350
,TOTAL MISDEMEANOR OFFENSES,7930,6821,5672,4679,4667,3996,3855,4129,3839,4305,3900,3902,4117,4089,3585,3441,3350,2308
32,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,4,12,18,12,23,13,27,20,15,25,21,28,29,19,13,9,13,10
,MISDEMEANOR SEX CRIMES (4),49,55,49,53,57,51,54,42,57,54,45,37,55,52,62,57,79,101
,MISDEMEANOR DANGEROUS DRUGS  (1),2259,1625,1585,1272,1598,1208,1197,1273,1652,1608,1444,1307,986,811,843,822,1010,481
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,45,70,45,101,107,93,174,118,174,153,152,128,97,90,74,86,105,65
,PETIT LARCENY                         ,748,843,699,674,604,672,630,538,569,648,639,604,634,642,699,716,672,731
,ASSAULT 3 AND RELATED OFFENSES        ,1011,992,843,784,917,849,861,877,991,919,984,912,870,864,861,702,633,569
,INTOXICATED & IMPAIRED DRIVING              ,20,34,44,45,81,75,65,88,107,72,61,52,47,56,41,37,46,48
,VEHICLE AND TRAFFIC LAWS              ,144,121,84,73,53,54,47,47,58,50,73,63,51,42,56,57,49,43
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,711,588,439,439,512,571,455,547,511,430,410,410,461,422,503,520,633,672
,CRIMINAL TRESPASS,237,268,159,169,278,217,305,436,493,594,512,472,299,228,300,249,231,116
,UNAUTHORIZED USE OF A VEHICLE           ,20,20,21,22,10,14,20,12,16,16,21,17,17,21,18,9,17,16
,OFFENSES AGAINST THE PERSON (7)      ,15,19,17,30,25,17,11,20,25,41,29,49,39,21,23,12,20,14
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),161,182,129,125,168,190,155,230,316,259,220,258,275,246,205,252,264,187
,ADMINISTRATIVE CODE (6)            ,10,23,12,9,20,31,14,11,9,20,10,7,12,16,29,12,7,13
,FRAUDS (3)                    ,66,100,49,56,68,85,69,59,79,63,58,79,85,57,51,68,69,53
,AGGRAVATED HARASSMENT 2               ,512,508,507,489,485,471,546,479,441,497,476,472,468,428,311,298,333,287
,OTHER MISDEMEANORS (8),464,399,358,295,231,219,218,213,260,251,310,388,844,738,526,642,539,422
,TOTAL MISDEMEANOR OFFENSES,6476,5859,5058,4648,5237,4830,4848,5010,5773,5700,5465,5283,5269,4753,4615,4548,4720,3828
33,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,24,40,23,27,23,12,32,22,19,16,17,15,19,17,21,6,5,12
,MISDEMEANOR SEX CRIMES (4),45,55,48,42,34,31,36,50,39,34,30,22,26,34,35,40,38,46
,MISDEMEANOR DANGEROUS DRUGS  (1),2365,2043,1588,1503,1909,1444,1684,2373,2306,2037,1772,1664,1707,1703,1472,792,756,643
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,39,64,52,77,62,67,114,102,105,121,100,89,62,82,55,68,50,32
,PETIT LARCENY                         ,695,652,615,757,711,621,643,600,659,544,579,493,637,564,654,643,768,725
,ASSAULT 3 AND RELATED OFFENSES        ,795,748,738,606,607,625,564,496,499,504,539,500,407,459,494,405,407,373
,INTOXICATED & IMPAIRED DRIVING              ,64,73,78,98,80,91,85,78,73,98,70,54,41,89,65,83,92,97
,VEHICLE AND TRAFFIC LAWS              ,330,294,204,159,96,95,93,85,47,71,53,43,42,38,42,41,38,33
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,421,358,238,326,358,306,383,452,477,398,420,413,470,401,399,366,409,432
,CRIMINAL TRESPASS,632,175,202,221,284,267,214,291,315,291,306,237,142,162,140,128,140,97
,UNAUTHORIZED USE OF A VEHICLE           ,20,27,31,26,26,24,17,15,12,14,14,11,6,11,19,10,7,9
,OFFENSES AGAINST THE PERSON (7)      ,33,25,37,19,19,31,11,11,7,14,20,16,7,14,19,10,16,9
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),112,85,127,120,129,118,153,154,114,128,117,108,112,119,93,87,71,77
,ADMINISTRATIVE CODE (6)            ,9,16,1,7,9,6,8,7,6,7,9,10,4,7,5,8,5,4
,FRAUDS (3)                    ,91,137,52,49,64,52,69,50,35,44,48,38,38,29,29,38,50,46
,AGGRAVATED HARASSMENT 2               ,459,469,426,384,382,361,341,322,331,333,315,231,257,247,135,106,131,121
,OTHER MISDEMEANORS (8),256,204,234,403,563,371,332,280,370,366,363,453,366,505,461,572,402,363
,TOTAL MISDEMEANOR OFFENSES,6390,5465,4694,4824,5356,4522,4779,5388,5414,5020,4772,4397,4343,4481,4138,3403,3385,3119
34,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,17,12,28,24,42,25,13,19,9,10,15,27,24,23,13,6,10,19
,MISDEMEANOR SEX CRIMES (4),52,70,68,46,42,32,43,46,47,28,38,36,34,25,37,46,43,45
,MISDEMEANOR DANGEROUS DRUGS  (1),2258,1038,863,999,1690,1660,1347,1544,1724,1834,1601,1616,1426,859,1288,707,653,659
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,32,30,28,50,71,82,86,106,84,109,102,82,91,88,90,82,95,86
,PETIT LARCENY                         ,773,781,1117,790,776,788,638,616,736,753,633,666,740,859,770,761,815,903
,ASSAULT 3 AND RELATED OFFENSES        ,812,769,676,583,684,642,614,555,553,573,615,581,600,619,599,522,558,500
,INTOXICATED & IMPAIRED DRIVING              ,72,56,90,92,80,72,65,152,116,108,80,110,97,212,202,131,137,160
,VEHICLE AND TRAFFIC LAWS              ,122,78,85,62,58,64,46,69,56,49,46,47,55,55,57,55,64,54
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,578,495,668,540,551,678,671,681,789,688,546,511,496,369,497,615,492,605
,CRIMINAL TRESPASS,77,76,52,87,143,100,113,121,94,173,226,384,308,347,490,205,150,103
,UNAUTHORIZED USE OF A VEHICLE           ,16,22,32,22,30,24,19,12,16,20,22,16,18,10,15,13,15,15
,OFFENSES AGAINST THE PERSON (7)      ,8,12,12,8,17,30,23,65,27,17,17,21,37,21,22,29,28,37
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),83,122,122,97,137,101,99,120,114,127,98,91,137,100,97,93,117,127
,ADMINISTRATIVE CODE (6)            ,6,6,5,3,6,11,5,2,8,5,4,3,5,15,5,5,2,1
,FRAUDS (3)                    ,67,102,72,39,71,78,38,56,67,60,50,41,55,56,59,46,73,90
,AGGRAVATED HARASSMENT 2               ,507,587,506,371,419,428,437,371,338,353,419,298,307,334,206,173,178,230
,OTHER MISDEMEANORS (8),267,253,245,171,306,302,269,325,262,272,340,280,535,488,471,474,497,321
,TOTAL MISDEMEANOR OFFENSES,5747,4509,4669,3984,5123,5117,4526,4860,5040,5179,4852,4810,4965,4480,4918,3963,3927,3955
40,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,27,48,36,48,58,49,54,36,34,38,23,52,63,25,39,35,26,26
,MISDEMEANOR SEX CRIMES (4),58,94,87,76,82,96,91,83,69,85,75,71,67,78,104,123,96,108
,MISDEMEANOR DANGEROUS DRUGS  (1),3248,2515,2811,2376,2401,2452,2388,2407,2540,2637,2048,2158,2319,2094,2032,1602,1470,1304
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,156,135,149,180,178,325,405,282,243,276,292,260,322,225,264,345,301,182
,PETIT LARCENY                         ,1438,1655,1491,1648,1364,1533,1455,1582,1618,1400,1429,1428,1713,1604,1692,1839,1710,1645
,ASSAULT 3 AND RELATED OFFENSES        ,1362,1370,1335,1319,1241,1329,1254,1227,1184,1262,1311,1284,1596,1480,1505,1318,1312,1290
,INTOXICATED & IMPAIRED DRIVING              ,51,43,49,72,114,124,95,132,132,139,96,71,85,128,125,103,77,95
,VEHICLE AND TRAFFIC LAWS              ,485,414,270,287,411,572,449,167,131,244,133,89,74,87,73,100,139,124
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,788,851,886,723,695,664,699,926,879,957,1075,968,1008,802,852,844,902,837
,CRIMINAL TRESPASS,963,1056,1146,1154,894,956,1245,1102,1268,1462,1470,1188,1119,1000,1802,1204,511,305
,UNAUTHORIZED USE OF A VEHICLE           ,23,42,24,23,28,22,29,20,18,12,15,11,23,17,22,19,18,29
,OFFENSES AGAINST THE PERSON (7)      ,48,35,30,20,19,40,27,18,13,24,19,24,37,64,44,55,50,23
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),184,228,204,238,198,276,358,293,267,369,313,273,299,328,370,321,306,312
,ADMINISTRATIVE CODE (6)            ,27,21,15,10,24,22,27,23,14,6,8,5,5,10,8,13,14,10
,FRAUDS (3)                    ,148,140,172,127,130,142,90,47,72,73,54,52,58,87,191,173,134,105
,AGGRAVATED HARASSMENT 2               ,771,768,691,727,731,704,698,703,642,710,687,635,653,606,438,490,496,570
,OTHER MISDEMEANORS (8),876,661,483,696,771,994,1076,1053,923,1573,1676,1458,1673,1909,1613,2195,2162,1333
,TOTAL MISDEMEANOR OFFENSES,10653,10076,9879,9724,9339,10300,10440,10101,10047,11267,10724,10027,11114,10544,11174,10779,9724,8298
41,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,17,53,31,18,30,23,17,42,50,42,30,26,25,19,14,17,10,18
,MISDEMEANOR SEX CRIMES (4),39,45,58,30,39,48,56,49,49,50,46,70,48,52,52,50,66,65
,MISDEMEANOR DANGEROUS DRUGS  (1),1684,800,769,1451,1020,799,812,1166,1539,1335,1157,1131,1142,1159,1087,611,647,469
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,46,26,45,49,48,74,71,69,109,116,113,89,101,89,85,73,77,72
,PETIT LARCENY                         ,875,940,918,947,758,836,834,948,690,739,676,677,712,738,857,855,893,895
,ASSAULT 3 AND RELATED OFFENSES        ,620,679,542,610,563,563,583,686,682,695,740,693,862,866,897,679,623,568
,INTOXICATED & IMPAIRED DRIVING              ,60,65,42,56,66,53,60,57,82,77,48,52,52,81,111,60,51,36
,VEHICLE AND TRAFFIC LAWS              ,446,189,96,67,55,48,56,62,44,63,51,47,51,65,72,48,56,75
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,373,329,344,403,395,393,420,485,485,545,624,480,472,409,472,493,545,498
,CRIMINAL TRESPASS,99,58,57,239,114,238,289,468,367,319,329,478,239,114,57,56,61,68
,UNAUTHORIZED USE OF A VEHICLE           ,14,18,25,18,22,10,9,13,11,10,19,14,12,14,10,15,14,22
,OFFENSES AGAINST THE PERSON (7)      ,8,22,22,18,15,10,12,13,15,7,17,13,14,19,20,18,28,8
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),207,192,198,367,420,544,546,605,518,563,522,719,527,479,186,121,126,82
,ADMINISTRATIVE CODE (6)            ,9,8,4,8,3,3,10,10,8,18,2,14,15,14,16,11,9,8
,FRAUDS (3)                    ,63,75,76,45,69,36,25,27,27,33,42,52,45,56,67,77,36,30
,AGGRAVATED HARASSMENT 2               ,412,416,373,326,355,364,359,365,393,371,404,417,406,389,324,303,301,299
,OTHER MISDEMEANORS (8),764,848,931,729,775,697,862,660,587,931,968,912,1019,919,816,978,927,567
,TOTAL MISDEMEANOR OFFENSES,5736,4763,4531,5381,4747,4739,5021,5725,5656,5914,5788,5884,5742,5482,5143,4465,4470,3780
42,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,13,21,28,28,12,26,20,15,27,30,30,45,23,19,22,17,13,11
,MISDEMEANOR SEX CRIMES (4),52,62,44,52,52,53,71,64,54,55,70,55,57,45,58,62,74,82
,MISDEMEANOR DANGEROUS DRUGS  (1),2299,1714,1681,1510,1532,1580,1448,1433,1795,2165,1836,1939,1570,1423,1416,1040,895,878
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,92,111,77,80,94,99,120,197,189,222,187,320,213,159,205,198,181,113
,PETIT LARCENY                         ,742,818,930,927,956,1028,1046,1143,903,824,777,786,861,928,887,866,1006,1170
,ASSAULT 3 AND RELATED OFFENSES        ,950,994,923,929,1031,1020,1032,1021,991,979,1017,988,983,1055,1137,891,975,863
,INTOXICATED & IMPAIRED DRIVING              ,34,43,35,29,106,37,78,76,66,68,49,32,47,74,89,54,30,28
,VEHICLE AND TRAFFIC LAWS              ,300,272,155,147,129,83,74,111,77,97,81,52,56,67,44,65,75,76
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,621,553,547,606,648,705,739,767,738,740,699,677,737,628,726,723,788,819
,CRIMINAL TRESPASS,417,364,555,531,399,310,421,445,404,537,623,660,443,323,310,267,298,206
,UNAUTHORIZED USE OF A VEHICLE           ,14,36,25,18,13,12,10,15,8,12,14,13,16,12,15,21,19,16
,OFFENSES AGAINST THE PERSON (7)      ,19,24,22,30,15,16,15,20,30,40,33,27,20,25,24,29,26,33
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),117,159,110,118,192,127,162,157,179,212,235,212,213,185,202,254,284,230
,ADMINISTRATIVE CODE (6)            ,6,9,11,17,8,18,12,11,11,6,9,10,11,7,7,7,7,5
,FRAUDS (3)                    ,38,98,41,35,55,43,32,32,38,35,43,29,37,46,51,50,78,68
,AGGRAVATED HARASSMENT 2               ,513,539,499,462,571,505,486,466,440,387,376,424,410,378,195,258,355,323
,OTHER MISDEMEANORS (8),292,199,154,254,221,285,458,261,257,714,710,434,706,704,529,851,852,628
,TOTAL MISDEMEANOR OFFENSES,6519,6016,5837,5773,6034,5947,6224,6234,6207,7123,6789,6703,6403,6078,5917,5653,5956,5549
43,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,19,35,36,51,40,35,54,36,26,59,57,61,47,32,41,32,9,25
