OBJECTID,the_geom,Name,Stacked,AnnoLine1,AnnoLine2,AnnoLine3,AnnoAngle,Borough
290,POINT (-74.12727240604953 40.579118742961256),Egbertville,1,Egbertville,,,0,Staten Island
291,POINT (-73.89213760232829 40.567375889570364),Roxbury,1,Roxbury,,,0,Queens
292,POINT (-73.9591845942871 40.59852509513729),Homecrest,1,Homecrest,,,0,Brooklyn
293,POINT (-73.8811431920061 40.71641451115823),Middle Village,2,Middle,Village,,0,Queens
294,POINT (-74.20152556457666 40.526264067348166),Prince's Bay,2,Prince's,Bay,,0,Staten Island
295,POINT (-74.13792663771576 40.576506293794935),Lighthouse Hill,2,Lighthouse,Hill,,0,Staten Island
296,POINT (-74.22957080626948 40.519541457489126),Richmond Valley,2,Richmond,Valley,,0,Staten Island
297,POINT (-73.8266775713865 40.790601556701525),Malba,1,Malba,,,0,Queens
298,POINT (-73.8902809854761 40.68248551101694),Highland Park,2,Highland,Park,,0,Brooklyn
299,POINT (-73.948415153289 40.609377701137696),Madison,1,Madison,,,0,Brooklyn
